,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
155,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
156,151,Fred,br BRA,MF,Manchester Utd,26,1993,24.0,60,32,33,22,5,25,100,25.0,75,44,8,36,38,98,32,0,Matches
157,152,Ryan Fredericks,eng ENG,DF,West Ham,26,1992,24.9,82,56,59,18,5,41,64,64.1,23,20,10,10,24,106,73,1,Matches
158,153,Kieron Freeman,wls WAL,FW,Sheffield Utd,27,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
159,154,Luke Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,6,4,2,2,2,2,8,25.0,6,1,0,1,10,16,6,0,Matches
160,155,Christian Fuchs,at AUT,DF,Leicester City,33,1986,8.6,14,9,8,6,0,8,19,42.1,11,8,3,5,17,31,33,1,Matches
161,156,Eric García,es ESP,DF,Manchester City,18,2001,8.8,6,1,4,2,0,5,9,55.6,4,2,0,2,18,24,33,0,Matches
162,157,James Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
163,158,Dwight Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,12,10,4,6,2,4,8,50.0,4,5,0,5,2,14,9,0,Matches
164,159,Paulo Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,Matches
